"Rank","Name","G","DB","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","RTE","TGT","REC","YDS","TD","Pa2PT","Ru2PT","2PT","FP/G","FP","PaFP","RuFP","RecFP"
"1","Kansas City Chiefs","17","723","651","435","5250","41","12","417","1970","18","3117","594","435","5250","41","2","1","3","65.2","1108.0","366.0","307.0","1210.0"
"2","Philadelphia Eagles","17","625","536","350","4364","25","9","544","2509","32","2547","487","350","4364","25","0","2","2","62.5","1062.5","265.6","446.9","936.4"
"3","Detroit Lions","17","627","588","383","4444","29","7","480","2179","23","2612","548","383","4444","29","1","3","4","60.8","1033.7","288.8","361.9","1003.4"
"4","Minnesota Vikings","17","733","672","448","4818","30","15","404","1661","18","3045","619","448","4818","30","3","0","3","60.3","1025.8","303.7","274.1","1115.8"
"5","Los Angeles Chargers","17","773","711","485","4791","26","10","404","1524","15","3294","653","485","4791","26","2","0","2","59.8","1017.0","289.6","242.4","1124.1"
"6","Dallas Cowboys","17","600","556","355","3911","28","18","531","2298","24","2547","524","355","3911","28","0","0","0","57.6","979.2","250.4","373.8","914.1"
"7","Buffalo Bills","16","658","574","361","4291","35","14","430","2232","15","2835","535","361","4291","35","1","1","2","61.0","975.8","299.6","315.2","1002.1"
"8","Cincinnati Bengals","16","681","610","418","4520","35","12","399","1528","14","2979","562","418","4520","35","3","0","3","60.6","969.6","314.8","236.8","1086.0"
"9","San Francisco 49ers","17","556","512","338","4049","30","9","504","2360","20","2375","485","338","4049","30","0","0","0","56.9","967.0","273.0","356.0","922.9"
"10","Jacksonville Jaguars","17","648","596","394","4148","25","9","448","2116","16","2706","558","394","4148","25","3","1","4","56.9","966.5","262.9","309.6","964.8"
"11","Seattle Seahawks","17","652","573","399","4282","30","12","425","2042","12","2816","540","399","4282","30","0","0","0","56.1","954.5","279.3","276.2","1007.2"
"12","Tampa Bay Buccaneers","17","777","751","499","4746","26","10","386","1308","5","3337","705","499","4746","26","2","0","2","55.7","947.6","287.8","160.8","1133.6"
"13","Arizona Cardinals","17","750","664","433","3966","17","17","434","1873","15","3139","615","433","3966","17","3","2","5","54.7","929.9","215.6","281.3","937.6"
"14","New York Giants","17","630","520","346","3431","17","6","520","2519","21","2627","472","346","3431","17","3","0","3","54.7","929.1","205.2","377.9","797.1"
"15","Cleveland Browns","17","619","540","335","3710","19","12","532","2490","19","2706","486","335","3710","19","0","1","1","53.7","912.4","212.4","365.0","820.0"
"16","Miami Dolphins","17","637","584","368","4765","30","15","390","1686","12","2711","547","368","4765","30","0","0","0","53.2","904.2","295.6","240.6","1024.5"
"17","Green Bay Packers","17","608","563","364","3890","27","12","456","2113","12","2372","526","364","3890","27","2","0","2","53.1","902.9","255.6","283.3","919.0"
"18","Las Vegas Raiders","17","646","586","359","4182","28","17","428","2059","12","2850","535","359","4182","28","0","0","0","52.9","899.2","262.3","277.9","945.2"
"19","New Orleans Saints","17","564","512","338","3969","24","14","465","1982","12","2487","472","337","3968","24","2","1","3","50.2","854.0","244.8","272.2","881.8"
"20","Pittsburgh Steelers","17","641","571","364","3661","12","14","500","2073","16","2788","532","364","3661","12","3","0","3","50.2","853.7","186.4","303.3","808.1"
"21","Baltimore Ravens","17","567","488","300","3202","19","13","527","2720","14","2386","445","300","3202","19","1","1","2","50.1","851.1","193.1","358.0","736.2"
"22","Washington Commanders","17","630","554","344","3783","24","16","538","2143","9","2697","509","344","3783","24","2","0","2","49.9","847.6","235.3","268.3","870.3"
"23","Indianapolis Colts","17","686","604","398","3854","17","20","439","1866","8","3021","559","398","3854","17","0","1","1","49.2","836.8","202.2","236.6","885.4"
"24","New England Patriots","17","602","540","358","3815","19","14","425","1812","12","2493","507","358","3815","19","1","0","1","48.7","827.8","216.6","253.2","855.5"
"25","Denver Broncos","17","663","571","345","4007","18","15","444","1935","11","2886","514","345","4007","18","0","1","1","48.5","823.8","217.3","261.5","853.7"
"26","Atlanta Falcons","17","490","415","257","2927","17","9","559","2718","17","1899","394","257","2927","17","2","1","3","47.8","812.9","180.1","375.8","655.7"
"27","New York Jets","17","688","627","357","4040","15","14","405","1686","13","2952","557","357","4040","15","0","0","0","47.7","811.2","207.6","246.6","851.0"
"28","Chicago Bears","17","505","377","223","2598","19","15","558","3014","18","1990","340","223","2598","19","1","0","1","47.0","799.3","166.9","409.4","598.8"
"29","Los Angeles Rams","17","613","531","347","3506","16","15","411","1661","15","2495","500","347","3506","16","0","0","0","46.6","792.3","189.2","256.1","793.6"
"30","Tennessee Titans","17","529","456","285","3227","16","11","487","2131","16","2199","418","285","3227","16","1","0","1","45.8","778.2","184.1","309.1","705.7"
"31","Carolina Panthers","17","512","457","267","3246","16","13","483","2210","16","2046","405","267","3246","16","0","1","1","45.1","766.8","180.8","319.0","687.6"
"32","Houston Texans","17","638","579","352","3642","20","19","398","1476","7","2624","528","352","3642","20","1","0","1","44.1","750.3","208.7","189.6","838.2"